counter,filename,scan_type,obs_seq,ele,n1,n2
3793,mapmaker_POLE3-320-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-320-0,POLE3,320,0
3794,mapmaker_POLE3-320-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-320-1,POLE3,320,1
3795,mapmaker_POLE3-320-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-320-2,POLE3,320,2
3796,mapmaker_POLE3-320-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-320-3,POLE3,320,3
3797,mapmaker_POLE3-321-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-321-0,POLE3,321,0
3798,mapmaker_POLE3-321-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-321-1,POLE3,321,1
3799,mapmaker_POLE3-321-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-321-2,POLE3,321,2
3800,mapmaker_POLE3-321-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-321-3,POLE3,321,3
3801,mapmaker_POLE3-322-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-322-0,POLE3,322,0
3802,mapmaker_POLE3-322-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-322-1,POLE3,322,1
3803,mapmaker_POLE3-322-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-322-2,POLE3,322,2
3804,mapmaker_POLE3-322-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-322-3,POLE3,322,3
3805,mapmaker_POLE3-323-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-323-0,POLE3,323,0
3806,mapmaker_POLE3-323-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-323-1,POLE3,323,1
3807,mapmaker_POLE3-323-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-323-2,POLE3,323,2
3808,mapmaker_POLE3-323-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-323-3,POLE3,323,3
3809,mapmaker_POLE3-324-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-324-0,POLE3,324,0
3810,mapmaker_POLE3-324-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-324-1,POLE3,324,1
3811,mapmaker_POLE3-324-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-324-2,POLE3,324,2
3812,mapmaker_POLE3-324-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-324-3,POLE3,324,3
3813,mapmaker_POLE3-325-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-325-0,POLE3,325,0
3814,mapmaker_POLE3-325-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-325-1,POLE3,325,1
3815,mapmaker_POLE3-325-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-325-2,POLE3,325,2
3816,mapmaker_POLE3-325-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-325-3,POLE3,325,3
3817,mapmaker_POLE3-326-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-326-0,POLE3,326,0
3818,mapmaker_POLE3-326-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-326-1,POLE3,326,1
3819,mapmaker_POLE3-326-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-326-2,POLE3,326,2
3820,mapmaker_POLE3-326-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-326-3,POLE3,326,3
3821,mapmaker_POLE3-327-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-327-0,POLE3,327,0
3822,mapmaker_POLE3-327-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-327-1,POLE3,327,1
3823,mapmaker_POLE3-327-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-327-2,POLE3,327,2
3824,mapmaker_POLE3-327-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-327-3,POLE3,327,3
3825,mapmaker_POLE3-328-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-328-0,POLE3,328,0
3826,mapmaker_POLE3-328-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-328-2,POLE3,328,2
3827,mapmaker_POLE3-328-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-328-3,POLE3,328,3
3828,mapmaker_POLE3-329-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-329-0,POLE3,329,0
3829,mapmaker_POLE3-329-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-329-1,POLE3,329,1
3830,mapmaker_POLE3-329-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-329-2,POLE3,329,2
3831,mapmaker_POLE3-329-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-329-3,POLE3,329,3
3832,mapmaker_POLE3-330-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-330-0,POLE3,330,0
3833,mapmaker_POLE3-330-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-330-1,POLE3,330,1
3834,mapmaker_POLE3-330-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-330-2,POLE3,330,2
3835,mapmaker_POLE3-330-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-330-3,POLE3,330,3
3836,mapmaker_POLE3-331-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-331-0,POLE3,331,0
3837,mapmaker_POLE3-331-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-331-1,POLE3,331,1
3838,mapmaker_POLE3-331-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-331-2,POLE3,331,2
3839,mapmaker_POLE3-331-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-331-3,POLE3,331,3
3840,mapmaker_POLE3-332-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-332-0,POLE3,332,0
3841,mapmaker_POLE3-332-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-332-1,POLE3,332,1
3842,mapmaker_POLE3-332-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-332-2,POLE3,332,2
3843,mapmaker_POLE3-332-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-332-3,POLE3,332,3
3844,mapmaker_POLE3-333-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-333-0,POLE3,333,0
3845,mapmaker_POLE3-333-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-333-1,POLE3,333,1
3846,mapmaker_POLE3-333-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-333-2,POLE3,333,2
3847,mapmaker_POLE3-333-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-333-3,POLE3,333,3
